DienstNr;Geldigheid;Deel;PeriodeId;Stelplaats;Geldigheidsnummer;Periode;ContractId;BeginDatum;WijzigDatum;Einddatum;Bustype;Opdrachtgever;Doelgroep;VertrektijdInMin;Vertrektijd;Aankomsttijd;AankomsttijdInMin;Beladen_Kms;Theoretische_Kms;Dag1Rijtijd;Dag1StatTb100;Dag1Stat50;Dag1AndWerkz;Dag1Arbeidstijd;Dag1Nacht;Dag2Rijtijd;dag2StatTb100;Dag2Stat50;dag2AndWerkz;dag2Arbeidstijd;Dag2Nacht;StatEff;OndEff;Kleur;Stelsel;Toegangsgebied;Basisbezetting;Kostenplaats;KalenderKoppeling;StartLine;Endline
1;m____;1;P2;Waaslandia;1;School;2226;01/07/2025;05/01/2026;;S;;;255;04:15;13:28;808;115;115;309;212;32;0;461;105;0;0;0;0;0;0;244;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
1;_d___;1;P2;Waaslandia;2;School;2226;01/07/2025;05/01/2026;;S;;;255;04:15;13:28;808;115;115;309;212;32;0;461;105;0;0;0;0;0;0;244;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
1;__w__;1;P2;Waaslandia;3;School;2225;01/07/2025;05/01/2026;;S;;;255;04:15;13:28;808;124;124;332;221;0;0;499;105;0;0;0;0;0;0;221;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
1;___d_;1;P2;Waaslandia;4;School;2226;01/07/2025;05/01/2026;;S;;;255;04:15;13:28;808;115;115;309;212;32;0;461;105;0;0;0;0;0;0;244;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Th:1;W000001;12011;;
1;____v;1;P2;Waaslandia;5;School;2226;01/07/2025;05/01/2026;;S;;;255;04:15;13:28;808;115;115;309;212;32;0;461;105;0;0;0;0;0;0;244;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Fr:1;W000001;12011;;
1;z_;1;P2;Waaslandia;6;School;2224;01/07/2025;05/01/2026;;S;;;295;04:55;14:31;871;146;146;401;175;0;0;550;65;0;0;0;0;0;0;175;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Sa:1;W000001;12011;;
1;_z;1;P2;Waaslandia;7;School;2224;01/07/2025;05/01/2026;;S;;;328;05:28;12:41;761;103;103;256;177;0;0;409;32;0;0;0;0;0;0;177;0;-1;Bus;Vrasene;Def:0,Wkhd:1,Wdhd:1,Su:1;W000001;12011;;
2;m____;1;P2;Waaslandia;1;School;2224;01/07/2025;05/01/2026;;S;;;258;04:18;14:08;848;133;133;360;230;0;0;530;102;0;0;0;0;0;0;230;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Mo:1;W000001;12011;;
2;_d___;1;P2;Waaslandia;2;School;2224;01/07/2025;05/01/2026;;S;;;258;04:18;14:08;848;133;133;360;230;0;0;530;102;0;0;0;0;0;0;230;0;-1;Bus;Vrasene;Def:0,Wkhd:0,Tu:1;W000001;12011;;
2;__w__;1;P2;Waaslandia;3;School;2226;01/07/2025;05/01/2026;;S;;;258;04:18;14:08;848;133;133;360;230;0;0;530;102;0;0;0;0;0;0;230;0;-1;Bus;Vrasene;Def:0,Wkhd:0,We:1;W000001;12011;;
